RPM;Nm;g/sec;g/kW*hr;%;D;;
1001;1.33;0.1470;3798.9;2.3;1.596;;
1001;11.58;0.1915;567.9;15.2;;;
1001;20.70;0.2531;420.0;20.5;;;
1001;34.57;0.3501;347.9;24.7;;;
1001;44.20;0.4077;316.8;27.2;;;
1001;58.18;0.4823;284.7;30.2;;;
1001;69.86;0.5608;275.7;31.2;;;
1001;80.40;0.6317;269.8;31.9;;;
1001;85.69;0.6666;267.2;32.2;;;
1001;95.38;0.7428;267.5;32.2;;;
1001;104.90;0.8459;276.9;31.1;;;
1001;114.41;0.9443;283.5;30.4;;;
1001;124.47;1.0422;287.5;29.9;;;
1151;1.33;0.1658;3726.3;2.3;;;
1151;11.58;0.2189;564.5;15.2;;;
1151;20.70;0.2878;415.4;20.7;;;
1151;34.57;0.3941;340.5;25.3;;;
1151;44.20;0.4615;311.9;27.6;;;
1151;58.18;0.5564;285.6;30.1;;;
1151;69.86;0.6448;275.7;31.2;;;
1151;80.40;0.7237;268.9;32.0;;;
1151;85.69;0.7623;265.7;32.4;;;
1151;95.38;0.8420;263.7;32.6;;;
1151;104.90;0.9437;268.7;32.0;;;
1151;114.41;1.0482;273.6;31.5;;;
1151;124.47;1.1564;277.5;31.0;;;
1151;134.54;1.2561;278.9;30.9;;;
1151;144.81;1.3541;279.3;30.8;;;
1301;1.33;0.1856;3689.8;2.3;;;
1301;11.58;0.2467;562.8;15.3;;;
1301;20.70;0.3218;410.8;21.0;;;
1301;34.57;0.4379;334.8;25.7;;;
1301;44.20;0.5171;309.1;27.8;;;
1301;58.18;0.6319;287.0;30.0;;;
1301;69.86;0.7301;276.2;31.2;;;
1301;80.40;0.8164;268.3;32.1;;;
1301;85.69;0.8594;265.0;32.5;;;
1301;95.38;0.9433;261.3;32.9;;;
1301;104.90;1.0443;263.1;32.7;;;
1301;114.41;1.1504;265.7;32.4;;;
1301;124.47;1.2688;269.3;32.0;;;
1301;134.54;1.3833;271.7;31.7;;;
1301;144.81;1.4922;272.3;31.6;;;
1301;154.05;1.5952;273.6;31.5;;;
1301;166.14;1.7424;277.1;31.1;;;
1501;1.33;0.2128;3667.6;2.3;;;
1501;11.58;0.2831;559.7;15.4;;;
1501;20.70;0.3659;404.9;21.3;;;
1501;34.57;0.4992;330.8;26.0;;;
1501;44.20;0.5951;308.4;27.9;;;
1501;58.18;0.7344;289.1;29.8;;;
1501;69.86;0.8453;277.1;31.1;;;
1501;80.40;0.9421;268.4;32.1;;;
1501;85.69;0.9909;264.9;32.5;;;
1501;95.38;1.0826;260.0;33.1;;;
1501;104.90;1.1853;258.8;33.3;;;
1501;114.41;1.2966;259.6;33.2;;;
1501;124.47;1.4244;262.1;32.8;;;
1501;134.54;1.5534;264.5;32.5;;;
1501;144.81;1.6780;265.4;32.4;;;
1501;154.05;1.7953;266.9;32.2;;;
1501;166.14;1.9582;270.0;31.9;;;
1501;182.84;2.2441;281.1;30.6;;;
1501;191.86;2.4024;286.8;30.0;;;
1751;1.33;0.2539;3750.5;2.3;;;
1751;11.58;0.3320;562.7;15.3;;;
1751;20.70;0.4272;405.2;21.2;;;
1751;34.57;0.5835;331.4;26.0;;;
1751;44.20;0.6957;309.0;27.9;;;
1751;58.18;0.8590;289.9;29.7;;;
1751;69.86;0.9874;277.5;31.0;;;
1751;80.40;1.1025;269.2;32.0;;;
1751;85.69;1.1600;265.8;32.4;;;
1751;95.38;1.2666;260.7;33.0;;;
1751;104.90;1.3762;257.6;33.4;;;
1751;114.41;1.4971;256.9;33.5;;;
1751;124.47;1.6375;258.3;33.3;;;
1751;134.54;1.7834;260.3;33.1;;;
1751;144.81;1.9263;261.2;33.0;;;
1751;154.05;2.0546;261.9;32.9;;;
1751;166.14;2.2356;264.2;32.6;;;
1751;182.84;2.5500;273.8;31.4;;;
1751;191.86;2.7560;282.0;30.5;;;
1751;200.88;2.9719;290.5;29.6;;;
1751;209.81;3.0652;286.8;30.0;;;
1751;218.74;3.1356;281.4;30.6;;;
2001;1.33;0.2998;3875.9;2.2;;;
2001;11.58;0.3887;576.5;14.9;;;
2001;20.70;0.4954;411.2;20.9;;;
2001;34.57;0.6729;334.5;25.7;;;
2001;44.20;0.7985;310.4;27.7;;;
2001;58.18;0.9823;290.1;29.7;;;
2001;69.86;1.1294;277.8;31.0;;;
2001;80.40;1.2627;269.8;31.9;;;
2001;85.69;1.3289;266.5;32.3;;;
2001;95.38;1.4508;261.3;32.9;;;
2001;104.90;1.5713;257.4;33.4;;;
2001;114.41;1.7025;255.6;33.7;;;
2001;124.47;1.8599;256.7;33.5;;;
2001;134.54;2.0259;258.7;33.3;;;
2001;144.81;2.1839;259.1;33.2;;;
2001;154.05;2.3197;258.7;33.3;;;
2001;166.14;2.5177;260.4;33.1;;;
2001;182.84;2.8417;267.0;32.2;;;
2001;191.86;3.0711;275.0;31.3;;;
2001;200.88;3.3696;288.2;29.9;;;
2001;209.81;3.5365;289.6;29.7;;;
2001;218.74;3.6178;284.2;30.3;;;
2001;228.12;3.7273;280.7;30.7;;;
2001;237.50;3.9182;283.4;30.4;;;
2250;1.33;0.3439;3954.0;2.2;;;
2250;11.58;0.4432;584.7;14.7;;;
2250;20.70;0.5628;415.5;20.7;;;
2250;34.57;0.7623;337.0;25.5;;;
2250;44.20;0.9029;312.2;27.6;;;
2250;58.18;1.1066;290.6;29.6;;;
2250;69.86;1.2747;278.8;30.9;;;
2250;80.40;1.4267;271.2;31.7;;;
2250;85.69;1.5019;267.8;32.1;;;
2250;95.38;1.6382;262.4;32.8;;;
2250;104.90;1.7704;257.9;33.4;;;
2250;114.41;1.9100;255.1;33.7;;;
2250;124.47;2.0834;255.8;33.7;;;
2250;134.54;2.2679;257.6;33.4;;;
2250;144.81;2.4377;257.2;33.5;;;
2250;154.05;2.5835;256.3;33.6;;;
2250;166.14;2.7929;256.9;33.5;;;
2250;182.84;3.1490;263.2;32.7;;;
2250;191.86;3.4071;271.4;31.7;;;
2250;200.88;3.7591;285.9;30.1;;;
2250;209.81;3.9999;291.3;29.5;;;
2250;218.74;4.1267;288.3;29.9;;;
2250;228.12;4.2560;285.1;30.2;;;
2250;237.50;4.4656;287.3;30.0;;;
