RPM;Nm;g/sec;g/kW*hr;%;D;;
862;1.13;0.1381;4861.6;1.8;1.998;;
862;10.17;0.1706;669.3;12.9;;;
862;19.92;0.2198;440.1;19.6;;;
862;29.90;0.2699;359.9;23.9;;;
862;39.88;0.3202;320.2;26.9;;;
862;49.98;0.3635;290.0;29.7;;;
862;59.94;0.4113;273.7;31.4;;;
862;69.92;0.4658;265.7;32.4;;;
862;79.91;0.5272;263.1;32.7;;;
862;89.87;0.5962;264.6;32.5;;;
862;99.98;0.6725;268.2;32.1;;;
862;109.78;0.7479;271.7;31.7;;;
998;1.13;0.1550;4711.0;1.8;;;
998;10.17;0.1925;652.1;13.2;;;
998;19.92;0.2491;430.6;20.0;;;
998;29.90;0.3051;351.3;24.5;;;
998;39.88;0.3591;310.1;27.8;;;
998;49.98;0.4076;280.8;30.6;;;
998;59.94;0.4640;266.5;32.3;;;
998;69.92;0.5264;259.3;33.2;;;
998;79.91;0.5939;255.9;33.6;;;
998;89.87;0.6680;256.0;33.6;;;
998;99.98;0.7522;259.0;33.2;;;
998;109.78;0.8435;264.6;32.5;;;
998;119.92;0.9579;275.0;31.3;;;
998;129.65;1.0704;284.3;30.3;;;
1246;1.13;0.1897;4619.7;1.9;;;
1246;10.17;0.2395;649.8;13.2;;;
1246;19.92;0.3059;423.6;20.3;;;
1246;29.90;0.3727;343.8;25.0;;;
1246;39.88;0.4328;299.3;28.7;;;
1246;49.98;0.4929;272.0;31.6;;;
1246;59.94;0.5639;259.5;33.2;;;
1246;69.92;0.6380;251.7;34.2;;;
1246;79.91;0.7168;247.4;34.8;;;
1246;89.87;0.7949;244.0;35.3;;;
1246;99.98;0.8895;245.4;35.1;;;
1246;109.78;1.0134;254.6;33.8;;;
1246;119.92;1.1932;274.4;31.4;;;
1246;129.65;1.3171;280.2;30.7;;;
1246;139.91;1.4703;289.9;29.7;;;
1246;149.92;1.6384;301.4;28.5;;;
1493;1.13;0.2281;4636.8;1.9;;;
1493;10.17;0.2902;657.2;13.1;;;
1493;19.92;0.3674;424.6;20.3;;;
1493;29.90;0.4440;341.8;25.2;;;
1493;39.88;0.5176;298.8;28.8;;;
1493;49.98;0.5897;271.6;31.7;;;
1493;59.94;0.6751;259.3;33.2;;;
1493;69.92;0.7626;251.1;34.3;;;
1493;79.91;0.8505;245.0;35.1;;;
1493;89.87;0.9397;240.7;35.7;;;
1493;99.98;1.0411;239.7;35.9;;;
1493;109.78;1.1773;246.9;34.9;;;
1493;119.92;1.3895;266.7;32.3;;;
1493;129.65;1.5196;269.8;31.9;;;
1493;139.91;1.6630;273.6;31.4;;;
1493;149.92;1.8177;279.1;30.8;;;
1493;156.78;1.9624;288.2;29.9;;;
1628;1.13;0.2521;4699.6;1.8;;;
1628;10.17;0.3196;663.7;13.0;;;
1628;19.92;0.4014;425.5;20.2;;;
1628;29.90;0.4837;341.5;25.2;;;
1628;39.88;0.5652;299.2;28.8;;;
1628;49.98;0.6453;272.5;31.6;;;
1628;59.94;0.7368;259.5;33.2;;;
1628;69.92;0.8315;251.1;34.3;;;
1628;79.91;0.9282;245.2;35.1;;;
1628;89.87;1.0248;240.8;35.7;;;
1628;99.98;1.1323;239.1;36.0;;;
1628;109.78;1.2658;243.4;35.3;;;
1628;119.92;1.4692;258.6;33.3;;;
1628;129.65;1.6125;262.6;32.8;;;
1628;139.91;1.7542;264.7;32.5;;;
1628;149.92;1.9102;269.0;32.0;;;
1628;156.78;2.0619;277.7;31.0;;;
1747;1.13;0.2733;4748.5;1.8;;;
1747;10.17;0.3451;668.3;12.9;;;
1747;19.92;0.4316;426.5;20.2;;;
1747;29.90;0.5185;341.3;25.2;;;
1747;39.88;0.6069;299.6;28.7;;;
1747;49.98;0.6946;273.5;31.5;;;
1747;59.94;0.7911;259.8;33.1;;;
1747;69.92;0.8918;251.0;34.3;;;
1747;79.91;0.9972;245.6;35.0;;;
1747;89.87;1.1012;241.2;35.7;;;
1747;99.98;1.2136;238.9;36.0;;;
1747;109.78;1.3439;241.0;35.7;;;
1747;119.92;1.5343;251.8;34.2;;;
1747;129.65;1.6823;255.4;33.7;;;
1747;139.91;1.8292;257.3;33.4;;;
1747;149.92;1.9906;261.3;32.9;;;
1747;156.78;2.1479;269.7;31.9;;;
1845;1.13;0.2902;4775.1;1.8;;;
1845;10.17;0.3660;671.0;12.8;;;
1845;19.92;0.4569;427.6;20.1;;;
1845;29.90;0.5471;341.0;25.2;;;
1845;39.88;0.6411;299.6;28.7;;;
1845;49.98;0.7356;274.3;31.4;;;
1845;59.94;0.8364;260.1;33.1;;;
1845;69.92;0.9414;250.9;34.3;;;
1845;79.91;1.0545;245.9;35.0;;;
1845;89.87;1.1653;241.7;35.6;;;
1845;99.98;1.2808;238.8;36.0;;;
1845;109.78;1.4103;239.4;35.9;;;
1845;119.92;1.5878;246.8;34.9;;;
1845;129.65;1.7336;249.2;34.5;;;
1845;139.91;1.8886;251.6;34.2;;;
1845;149.92;2.0582;255.9;33.6;;;
1845;156.78;2.2186;263.7;32.6;;;
1845;167.88;2.5217;280.0;30.7;;;
1997;1.13;0.3157;4797.2;1.8;;;
1997;10.17;0.3977;673.5;12.8;;;
1997;19.92;0.4968;429.3;20.0;;;
1997;29.90;0.5917;340.6;25.3;;;
1997;39.88;0.6942;299.7;28.7;;;
1997;49.98;0.7998;275.4;31.2;;;
1997;59.94;0.9074;260.6;33.0;;;
1997;69.92;1.0186;250.8;34.3;;;
1997;79.91;1.1430;246.2;35.0;;;
1997;89.87;1.2659;242.5;35.5;;;
1997;99.98;1.3859;238.6;36.1;;;
1997;109.78;1.5158;237.7;36.2;;;
1997;119.92;1.6731;240.2;35.8;;;
1997;129.65;1.8082;240.1;35.8;;;
1997;139.91;1.9799;243.6;35.3;;;
1997;149.92;2.1655;248.6;34.6;;;
1997;156.78;2.3296;255.8;33.6;;;
1997;167.88;2.6342;270.1;31.9;;;
1997;179.88;2.9649;283.7;30.3;;;
2495;1.13;0.3830;4658.5;1.8;;;
2495;10.17;0.4943;669.9;12.8;;;
2495;19.92;0.6195;428.5;20.1;;;
2495;29.90;0.7453;343.4;25.1;;;
2495;39.88;0.8812;304.4;28.3;;;
2495;49.98;1.0162;280.1;30.7;;;
2495;59.94;1.1455;263.3;32.7;;;
2495;69.92;1.2866;253.5;33.9;;;
2495;79.91;1.4356;247.5;34.8;;;
2495;89.87;1.5674;240.3;35.8;;;
2495;99.98;1.7488;241.0;35.7;;;
2495;109.78;1.8944;237.7;36.2;;;
2495;119.92;2.0644;237.1;36.3;;;
2495;129.65;2.2312;237.1;36.3;;;
2495;139.91;2.3810;234.4;36.7;;;
2495;149.92;2.5946;238.4;36.1;;;
2495;156.78;2.7720;243.6;35.3;;;
2495;167.88;3.0669;251.7;34.2;;;
2495;179.88;3.5542;272.2;31.6;;;
2995;1.13;0.4791;4855.9;1.8;;;
2995;10.17;0.6327;714.4;12.0;;;
2995;19.92;0.7914;456.1;18.9;;;
2995;29.90;0.9188;352.7;24.4;;;
2995;39.88;1.0692;307.8;28.0;;;
2995;49.98;1.2319;282.9;30.4;;;
2995;59.94;1.3949;267.1;32.2;;;
2995;69.92;1.5749;258.6;33.3;;;
