RPM;Nm;g/sec;g/kW*hr;%;D;;
1001;6.30;0.3070;1672.5;5.2;2.694;;
1001;25.56;0.3270;439.2;19.6;;;
1001;46.99;0.4318;315.5;27.3;;;
1001;68.42;0.5824;292.2;29.5;;;
1001;96.84;0.7672;272.0;31.7;;;
1001;105.69;0.8340;270.9;31.8;;;
1001;118.75;0.9373;271.0;31.8;;;
1001;148.20;1.1818;273.8;31.5;;;
1001;181.42;1.5014;284.1;30.3;;;
1001;203.43;1.7297;291.9;29.5;;;
1001;228.29;1.9968;300.3;28.7;;;
1251;6.30;0.3575;1559.2;5.5;;;
1251;25.56;0.4114;442.4;19.5;;;
1251;46.99;0.5640;329.9;26.1;;;
1251;68.42;0.7335;294.6;29.2;;;
1251;96.84;0.9448;268.1;32.1;;;
1251;105.69;1.0214;265.6;32.4;;;
1251;118.75;1.1393;263.7;32.7;;;
1251;148.20;1.4005;259.7;33.2;;;
1251;181.42;1.7959;272.0;31.7;;;
1251;203.43;2.0275;273.9;31.5;;;
1251;228.29;2.3380;281.4;30.6;;;
1251;254.17;2.6589;287.5;30.0;;;
1251;283.64;3.0938;299.7;28.7;;;
1501;6.30;0.4069;1479.1;5.8;;;
1501;25.56;0.4908;439.8;19.6;;;
1501;46.99;0.6899;336.2;25.6;;;
1501;68.42;0.8762;293.3;29.4;;;
1501;96.84;1.1192;264.7;32.5;;;
1501;105.69;1.2114;262.5;32.8;;;
1501;118.75;1.3520;260.7;33.0;;;
1501;148.20;1.6580;256.2;33.6;;;
1501;181.42;2.0594;260.0;33.1;;;
1501;203.43;2.3146;260.6;33.1;;;
1501;228.29;2.6074;261.6;32.9;;;
1501;254.17;2.9520;266.0;32.4;;;
1501;283.64;3.4199;276.1;31.2;;;
1501;301.06;3.6694;279.1;30.9;;;
1501;318.49;3.8988;280.3;30.7;;;
1501;340.56;4.1618;279.9;30.8;;;
1751;6.30;0.4596;1432.2;6.0;;;
1751;25.56;0.5810;446.3;19.3;;;
1751;46.99;0.8218;343.4;25.1;;;
1751;68.42;1.0085;289.4;29.8;;;
1751;96.84;1.3013;263.8;32.7;;;
1751;105.69;1.4085;261.6;32.9;;;
1751;118.75;1.5688;259.4;33.2;;;
1751;148.20;1.9147;253.6;34.0;;;
1751;181.42;2.3271;251.8;34.2;;;
1751;203.43;2.6056;251.5;34.3;;;
1751;228.29;2.9170;250.9;34.3;;;
1751;254.17;3.2895;254.1;33.9;;;
1751;283.64;3.7503;259.6;33.2;;;
1751;301.06;4.0397;263.4;32.7;;;
1751;318.49;4.3429;267.7;32.2;;;
1751;340.56;4.7284;272.6;31.6;;;
1751;368.60;5.1717;275.5;31.3;;;
1751;395.56;5.6246;279.2;30.9;;;
1751;410.11;5.8672;280.9;30.7;;;
2001;6.30;0.5193;1415.9;6.1;;;
2001;25.56;0.6753;453.9;19.0;;;
2001;46.99;0.9355;342.0;25.2;;;
2001;68.42;1.1534;289.6;29.7;;;
2001;96.84;1.5003;266.2;32.4;;;
2001;105.69;1.6200;263.3;32.7;;;
2001;118.75;1.7986;260.2;33.1;;;
2001;148.20;2.1896;253.8;33.9;;;
2001;181.42;2.6148;247.6;34.8;;;
2001;203.43;2.9142;246.1;35.0;;;
2001;228.29;3.2664;245.8;35.0;;;
2001;254.17;3.6707;248.1;34.7;;;
2001;283.64;4.1349;250.4;34.4;;;
2001;301.06;4.4393;253.3;34.0;;;
2001;318.49;4.7822;258.0;33.4;;;
2001;340.56;5.3147;268.1;32.1;;;
2001;368.60;5.9297;276.4;31.2;;;
2001;395.56;6.4290;279.2;30.9;;;
2001;410.11;6.7192;281.5;30.6;;;
2001;439.21;7.2014;281.7;30.6;;;
2001;457.02;7.5371;283.3;30.4;;;
2251;6.30;0.5941;1440.0;6.0;;;
2251;25.56;0.7824;467.5;18.4;;;
2251;46.99;1.0556;343.1;25.1;;;
2251;68.42;1.3241;295.6;29.1;;;
2251;96.84;1.7077;269.3;32.0;;;
2251;105.69;1.8384;265.6;32.4;;;
2251;118.75;2.0341;261.6;32.9;;;
2251;148.20;2.4675;254.3;33.9;;;
2251;181.42;2.9186;245.7;35.1;;;
2251;203.43;3.2430;243.5;35.4;;;
2251;228.29;3.6404;243.5;35.4;;;
2251;254.17;4.0841;245.4;35.1;;;
2251;283.64;4.5761;246.4;35.0;;;
2251;301.06;4.8747;247.3;34.8;;;
2251;318.49;5.2208;250.3;34.4;;;
2251;340.56;5.8162;260.8;33.0;;;
2251;368.60;6.5834;272.8;31.6;;;
2251;395.56;7.1822;277.3;31.1;;;
2251;410.11;7.6127;283.5;30.4;;;
2251;439.21;8.3070;288.8;29.8;;;
2501;6.30;0.6678;1456.9;5.9;;;
2501;25.56;0.8840;475.5;18.1;;;
2501;46.99;1.1860;347.0;24.8;;;
2501;68.42;1.4911;299.6;28.8;;;
2501;96.84;1.9236;273.0;31.5;;;
2501;105.69;2.0671;268.8;32.0;;;
2501;118.75;2.2814;264.1;32.6;;;
2501;148.20;2.7568;255.7;33.7;;;
2501;181.42;3.2433;245.7;35.1;;;
2501;203.43;3.5904;242.6;35.5;;;
2501;228.29;4.0286;242.6;35.5;;;
2501;254.17;4.5050;243.6;35.4;;;
2501;283.64;5.0217;243.4;35.4;;;
2501;301.06;5.3524;244.4;35.3;;;
2501;318.49;5.7256;247.1;34.9;;;
2501;340.56;6.4000;258.3;33.3;;;
2501;368.60;7.1926;268.2;32.1;;;
2501;395.56;7.9635;276.7;31.1;;;
2501;410.11;8.4818;284.3;30.3;;;
2501;439.21;9.3959;294.1;29.3;;;
2501;457.02;10.1426;305.0;28.2;;;
2751;6.30;0.7261;1440.1;6.0;;;
2751;25.56;1.0050;491.4;17.5;;;
2751;46.99;1.3409;356.6;24.2;;;
2751;68.42;1.6689;304.8;28.3;;;
2751;96.84;2.1480;277.2;31.1;;;
2751;105.69;2.3078;272.9;31.6;;;
2751;118.75;2.5441;267.7;32.2;;;
2751;148.20;3.0620;258.2;33.4;;;
2751;181.42;3.5975;247.8;34.8;;;
2751;203.43;3.9689;243.8;35.3;;;
2751;228.29;4.4258;242.3;35.6;;;
2751;254.17;4.9295;242.4;35.5;;;
2751;283.64;5.4841;241.6;35.7;;;
2751;301.06;5.8753;243.9;35.3;;;
2751;318.49;6.3486;249.1;34.6;;;
2751;340.56;7.0898;260.1;33.1;;;
2751;368.60;7.8571;266.4;32.3;;;
2751;395.56;8.7140;275.3;31.3;;;
2751;410.11;9.3478;284.8;30.2;;;
2751;439.21;10.3725;295.1;29.2;;;
2751;457.02;11.4110;312.0;27.6;;;
3001;6.30;0.8157;1482.9;5.8;;;
3001;25.56;1.1638;521.6;16.5;;;
3001;46.99;1.5092;367.9;23.4;;;
3001;68.42;1.8735;313.6;27.5;;;
3001;96.84;2.3936;283.1;30.4;;;
3001;105.69;2.5644;277.9;31.0;;;
3001;118.75;2.8169;271.7;31.7;;;
3001;148.20;3.3793;261.2;33.0;;;
3001;181.42;3.9704;250.7;34.4;;;
3001;203.43;4.3630;245.7;35.1;;;
3001;228.29;4.8277;242.2;35.6;;;
3001;254.17;5.3555;241.3;35.7;;;
3001;283.64;5.9769;241.4;35.7;;;
3001;301.06;6.4068;243.7;35.3;;;
3001;318.49;6.8978;248.1;34.7;;;
3001;340.56;7.5482;253.9;33.9;;;
3001;368.60;8.5964;267.1;32.2;;;
3001;395.56;9.6862;280.5;30.7;;;
3001;410.11;10.3305;288.5;29.9;;;
3001;439.21;11.4558;298.7;28.8;;;
3001;457.02;12.5939;315.6;27.3;;;
3502;6.30;1.0139;1579.8;5.5;;;
3502;25.56;1.4071;540.5;15.9;;;
3502;46.99;1.8243;381.2;22.6;;;
3502;68.42;2.2611;324.5;26.5;;;
3502;96.84;2.8766;291.6;29.5;;;
3502;105.69;3.0733;285.5;30.2;;;
3502;118.75;3.3645;278.2;31.0;;;
3502;148.20;4.0239;266.6;32.3;;;
3502;181.42;4.7355;256.3;33.6;;;
3502;203.43;5.1800;250.0;34.5;;;
3502;228.29;5.6451;242.8;35.5;;;
3502;254.17;6.2349;240.8;35.8;;;
3502;283.64;6.9710;241.3;35.7;;;
3502;301.06;7.4700;243.6;35.4;;;
3502;318.49;8.0346;247.7;34.8;;;
3502;340.56;8.8281;254.5;33.8;;;
3502;368.60;10.0165;266.8;32.3;;;
3502;395.56;11.1066;275.7;31.2;;;
3502;410.11;11.7461;281.2;30.6;;;
3502;439.21;13.3215;297.8;28.9;;;
3502;457.02;14.2425;306.0;28.2;;;
4002;6.30;1.2197;1662.9;5.2;;;
4002;25.56;1.6170;543.5;15.8;;;
4002;46.99;2.1444;392.0;22.0;;;
4002;68.42;2.6928;338.1;25.5;;;
4002;96.84;3.3957;301.2;28.6;;;
4002;105.69;3.6144;293.8;29.3;;;
4002;118.75;3.9375;284.8;30.2;;;
4002;148.20;4.6785;271.2;31.8;;;
4002;181.42;5.5051;260.7;33.0;;;
4002;203.43;5.9851;252.7;34.1;;;
4002;228.29;6.5225;245.4;35.1;;;
4002;254.17;7.1610;242.0;35.6;;;
4002;283.64;8.1090;245.6;35.1;;;
4002;301.06;8.7529;249.7;34.5;;;
4002;318.49;9.4688;255.4;33.7;;;
4002;340.56;10.4666;264.0;32.6;;;
4002;368.60;11.7342;273.5;31.5;;;
4002;395.56;12.5912;273.4;31.5;;;
4002;410.11;13.2653;277.8;31.0;;;
4002;439.21;15.1942;297.2;29.0;;;
4502;6.30;1.5262;1849.6;4.7;;;
4502;25.56;1.9684;588.1;14.6;;;
4502;46.99;2.5434;413.3;20.8;;;
4502;68.42;3.1563;352.2;24.5;;;
4502;96.84;3.9304;309.9;27.8;;;
4502;105.69;4.1728;301.5;28.6;;;
4502;118.75;4.5307;291.3;29.6;;;
4502;148.20;5.3460;275.4;31.3;;;
4502;181.42;6.3033;265.3;32.5;;;
4502;203.43;6.9310;260.1;33.1;;;
4502;228.29;7.6392;255.5;33.7;;;
4502;254.17;8.4312;253.3;34.0;;;
4502;283.64;9.5727;257.7;33.4;;;
4502;301.06;10.3277;261.9;32.9;;;
4502;318.49;11.1977;268.5;32.1;;;
4502;340.56;12.7292;285.4;30.2;;;
4502;368.60;14.5820;302.1;28.5;;;
4502;395.56;15.7160;303.4;28.4;;;
4502;410.11;16.3666;304.7;28.3;;;
4759;6.30;1.6882;1935.4;4.5;;;
4759;25.56;2.1554;609.2;14.1;;;
4759;46.99;2.7423;421.6;20.4;;;
4759;68.42;3.3659;355.4;24.2;;;
4759;96.84;4.1963;313.0;27.5;;;
4759;105.69;4.4563;304.6;28.3;;;
4759;118.75;4.8408;294.5;29.3;;;
4759;148.20;5.7211;278.9;30.9;;;
4759;181.42;6.7711;269.6;32.0;;;
4759;203.43;7.4932;266.1;32.4;;;
4759;228.29;8.3394;263.9;32.6;;;
4759;254.17;9.3010;264.3;32.6;;;
4759;283.64;10.5793;269.4;32.0;;;
4759;301.06;11.3935;273.4;31.5;;;
4759;318.49;12.2701;278.3;31.0;;;
4759;340.56;13.5544;287.5;30.0;;;
4759;368.60;15.3240;300.3;28.7;;;
4759;395.56;16.9450;309.4;27.8;;;
4759;410.11;17.7670;312.9;27.5;;;
5016;6.30;1.8323;1993.0;4.3;;;
5016;25.56;2.3349;626.1;13.8;;;
5016;46.99;2.9384;428.6;20.1;;;
5016;68.42;3.5777;358.4;24.0;;;
5016;96.84;4.4616;315.7;27.3;;;
5016;105.69;4.7404;307.4;28.0;;;
5016;118.75;5.1536;297.4;29.0;;;
5016;148.20;6.1065;282.4;30.5;;;
5016;181.42;7.2642;274.4;31.4;;;
5016;203.43;8.0894;272.5;31.6;;;
5016;228.29;9.0840;272.7;31.6;;;
5016;254.17;10.2255;275.7;31.2;;;
5016;283.64;11.6772;282.1;30.5;;;
5016;301.06;12.5524;285.7;30.1;;;
5016;318.49;13.3989;288.3;29.9;;;
5016;340.56;14.3994;289.8;29.7;;;
5016;368.60;16.1068;299.5;28.8;;;
5016;395.56;18.2372;316.0;27.3;;;
5016;410.11;19.2619;321.9;26.8;;;
5500;6.30;2.0299;2013.9;4.3;;;
5500;25.56;2.6211;641.1;13.4;;;
5500;46.99;3.2933;438.1;19.7;;;
5500;68.42;3.9904;364.6;23.6;;;
5500;96.84;4.9685;320.7;26.9;;;
5500;105.69;5.2832;312.5;27.6;;;
5500;118.75;5.7526;302.8;28.4;;;
5500;148.20;6.8622;289.4;29.8;;;
5500;181.42;8.2746;285.1;30.2;;;
5500;203.43;9.3178;286.3;30.1;;;
5500;228.29;10.5963;290.1;29.7;;;
5500;254.17;12.0591;296.6;29.0;;;
5500;283.64;13.8777;305.8;28.2;;;
5500;301.06;14.9506;310.4;27.8;;;
5500;318.49;15.9458;313.0;27.5;;;
5500;340.56;16.7640;307.7;28.0;;;
5500;368.60;19.1865;325.4;26.5;;;
