RPM;Nm;g/sec;g/kW*hr;%;D;;
696;9.00;0.1838;1008.0;8.3;2.488;;
696;27.50;0.2479;445.1;18.9;;;
696;39.23;0.2890;363.7;23.1;;;
696;60.83;0.3626;294.2;28.5;;;
696;90.16;0.4721;258.5;32.5;;;
696;110.94;0.5678;252.6;33.2;;;
696;126.45;0.6508;254.1;33.0;;;
696;136.05;0.7080;256.9;32.7;;;
769;9.00;0.1966;976.8;8.6;;;
769;27.50;0.2669;434.2;19.3;;;
769;39.23;0.3130;356.9;23.5;;;
769;60.83;0.3976;292.4;28.7;;;
769;90.16;0.5205;258.2;32.5;;;
769;110.94;0.6230;251.2;33.4;;;
769;126.45;0.7091;250.9;33.4;;;
769;136.05;0.7673;252.3;33.3;;;
821;9.00;0.2059;957.4;8.8;;;
821;27.50;0.2807;427.5;19.6;;;
821;39.23;0.3304;352.7;23.8;;;
821;60.83;0.4230;291.2;28.8;;;
821;90.16;0.5557;258.1;32.5;;;
821;110.94;0.6633;250.3;33.5;;;
821;126.45;0.7517;248.9;33.7;;;
821;136.05;0.8106;249.5;33.6;;;
821;158.96;0.9773;257.4;32.6;;;
1009;9.00;0.2387;903.8;9.3;;;
1009;27.50;0.3308;410.0;20.5;;;
1009;39.23;0.3936;342.0;24.5;;;
1009;60.83;0.5131;287.5;29.2;;;
1009;90.16;0.6810;257.4;32.6;;;
1009;110.94;0.8074;248.0;33.8;;;
1009;126.45;0.9051;244.0;34.4;;;
1009;136.05;0.9663;242.1;34.7;;;
1009;158.96;1.1359;243.6;34.4;;;
1009;174.88;1.3027;253.9;33.0;;;
1009;190.80;1.4807;264.5;31.7;;;
1009;206.61;1.6586;273.6;30.7;;;
1290;9.00;0.2967;878.2;9.6;;;
1290;27.50;0.4155;402.7;20.8;;;
1290;39.23;0.4937;335.3;25.0;;;
1290;60.83;0.6434;281.8;29.8;;;
1290;90.16;0.8658;255.9;32.8;;;
1290;110.94;1.0204;245.1;34.2;;;
1290;126.45;1.1407;240.4;34.9;;;
1290;136.05;1.2140;237.8;35.3;;;
1290;158.96;1.3985;234.4;35.8;;;
1290;174.88;1.5729;239.7;35.0;;;
1290;190.80;1.7597;245.8;34.1;;;
1290;206.61;1.9329;249.3;33.7;;;
1290;222.42;2.1053;252.2;33.3;;;
1290;243.73;2.3405;255.9;32.8;;;
1290;257.14;2.5366;262.9;31.9;;;
1290;280.66;2.9958;284.4;29.5;;;
1290;296.14;3.3468;301.2;27.9;;;
1290;311.63;3.7066;316.9;26.5;;;
1290;323.99;3.8186;314.1;26.7;;;
1290;344.71;3.8467;297.4;28.2;;;
1501;9.00;0.3471;882.9;9.5;;;
1501;27.50;0.4835;402.8;20.8;;;
1501;39.23;0.5733;334.7;25.1;;;
1501;60.83;0.7452;280.6;29.9;;;
1501;90.16;1.0066;255.7;32.8;;;
1501;110.94;1.1779;243.2;34.5;;;
1501;126.45;1.3090;237.1;35.4;;;
1501;136.05;1.3941;234.7;35.7;;;
1501;158.96;1.5963;230.0;36.5;;;
1501;174.88;1.7774;232.8;36.0;;;
1501;190.80;1.9671;236.1;35.5;;;
1501;206.61;2.1508;238.4;35.2;;;
1501;222.42;2.3316;240.1;34.9;;;
1501;243.73;2.5674;241.3;34.8;;;
1501;257.14;2.7350;243.6;34.4;;;
1501;280.66;3.1346;255.8;32.8;;;
1501;296.14;3.4987;270.6;31.0;;;
1501;311.63;3.8392;282.2;29.7;;;
1501;323.99;3.9822;281.5;29.8;;;
1501;344.71;4.0320;267.9;31.3;;;
1501;369.12;4.2125;261.4;32.1;;;
1501;393.52;4.7007;273.6;30.7;;;
1751;9.00;0.4004;873.2;9.6;;;
1751;27.50;0.5636;402.4;20.8;;;
1751;39.23;0.6716;336.1;25.0;;;
1751;60.83;0.8788;283.6;29.6;;;
1751;90.16;1.1738;255.6;32.8;;;
1751;110.94;1.3710;242.6;34.6;;;
1751;126.45;1.5113;234.7;35.8;;;
1751;136.05;1.5999;230.9;36.3;;;
1751;158.96;1.8246;225.3;37.2;;;
1751;174.88;2.0208;226.9;37.0;;;
1751;190.80;2.2258;229.0;36.6;;;
1751;206.61;2.4255;230.5;36.4;;;
1751;222.42;2.6274;231.9;36.2;;;
1751;243.73;2.8969;233.4;36.0;;;
1751;257.14;3.0751;234.8;35.7;;;
1751;280.66;3.4558;241.7;34.7;;;
1751;296.14;3.8341;254.2;33.0;;;
1751;311.63;4.0882;257.6;32.6;;;
1751;323.99;4.2125;255.3;32.9;;;
1751;344.71;4.3285;246.5;34.0;;;
1751;369.12;4.5945;244.4;34.3;;;
1751;393.52;5.1231;255.6;32.8;;;
1751;417.71;5.9113;277.8;30.2;;;
1751;434.46;6.4874;293.2;28.6;;;
2001;9.00;0.4614;880.5;9.5;;;
2001;27.50;0.6505;406.5;20.6;;;
2001;39.23;0.7772;340.4;24.7;;;
2001;60.83;1.0178;287.4;29.2;;;
2001;90.16;1.3478;256.8;32.7;;;
2001;110.94;1.5585;241.3;34.8;;;
2001;126.45;1.7155;233.1;36.0;;;
2001;136.05;1.8148;229.2;36.6;;;
2001;158.96;2.0788;224.7;37.3;;;
2001;174.88;2.2863;224.6;37.4;;;
2001;190.80;2.5093;225.9;37.1;;;
2001;206.61;2.7283;226.9;37.0;;;
2001;222.42;2.9478;227.7;36.8;;;
2001;243.73;3.2632;230.0;36.5;;;
2001;257.14;3.4694;231.8;36.2;;;
2001;280.66;3.8734;237.1;35.4;;;
2001;296.14;4.2304;245.4;34.2;;;
2001;311.63;4.5056;248.4;33.8;;;
2001;323.99;4.6397;246.0;34.1;;;
2001;344.71;4.8627;242.3;34.6;;;
2001;369.12;5.2207;243.0;34.5;;;
2001;393.52;5.8107;253.7;33.1;;;
2001;417.71;6.7107;276.0;30.4;;;
2251;9.00;0.5289;897.2;9.4;;;
2251;27.50;0.7414;411.8;20.4;;;
2251;39.23;0.8824;343.5;24.4;;;
2251;60.83;1.1599;291.2;28.8;;;
2251;90.16;1.5354;260.1;32.3;;;
2251;110.94;1.7685;243.5;34.5;;;
2251;126.45;1.9400;234.3;35.8;;;
2251;136.05;2.0513;230.3;36.4;;;
2251;158.96;2.3506;225.8;37.2;;;
2251;174.88;2.5740;224.8;37.3;;;
2251;190.80;2.8050;224.5;37.4;;;
2251;206.61;3.0434;225.0;37.3;;;
2251;222.42;3.2840;225.5;37.2;;;
2251;243.73;3.6505;228.7;36.7;;;
2251;257.14;3.9029;231.8;36.2;;;
2251;280.66;4.3769;238.2;35.2;;;
2251;296.14;4.7304;244.0;34.4;;;
2251;311.63;5.0696;248.5;33.8;;;
2251;323.99;5.2328;246.7;34.0;;;
2251;344.71;5.5641;246.5;34.0;;;
2251;369.12;6.1334;253.8;33.1;;;
2251;393.52;6.9473;269.6;31.1;;;
2251;417.71;7.7403;283.0;29.6;;;
2251;434.46;8.0932;284.5;29.5;;;
2501;9.00;0.6037;921.5;9.1;;;
2501;27.50;0.8295;414.7;20.2;;;
2501;39.23;0.9860;345.5;24.3;;;
2501;60.83;1.3007;293.9;28.5;;;
2501;90.16;1.7282;263.5;31.8;;;
2501;110.94;1.9897;246.5;34.0;;;
