,max_eff,Pmax,n_i,alpha,epsilon,betha,ecart
C150_EV,95.6,159680.0,0.9904115311908701,2.8599723473884535,0.08588933424782157,39.06522416681767,1.153649276783167
T60_EV,95.6,64269.99999999999,0.9820688567470666,0.8268505801756458,0.18703710464957005,327.03793023256213,1.0944653224819576
H30_EV,93.3,37510.0,0.9655750760246965,2.090988224487323,0.07671599798319731,151.02048940092806,0.9995282298096902
H8.5_EV,87.2,26030.0,0.9820252668944949,4.770516571505211,0.2845161460301561,30.755246016736564,1.3866955686166642
I150_EV,94.7,153410.0,0.9671969365486307,1.4935404504252614,0.09192744465553239,44.14821141244477,1.4565202887641935
