RPM;Nm;kW;%;;;
1563;95.00;19.75;78.7;;;
1953;-65.00;-11.13;83.7;;;
1953;-60.00;-10.30;83.9;;;
1953;-55.00;-9.44;83.9;;;
1953;-50.00;-8.53;83.5;;;
1953;-45.00;-7.64;83.0;;;
1953;-40.00;-6.73;82.2;;;
1953;-35.00;-5.82;81.3;;;
1953;-30.00;-4.89;79.6;;;
1953;-25.00;-3.94;77.0;;;
1953;-20.00;-2.98;72.9;;;
1953;-15.00;-2.03;66.2;;;
1953;-6.21;-0.31;24.5;;;
1953;0.00;0.98;0.0;;;
1953;5.00;2.07;49.4;;;
1953;10.00;3.17;64.6;;;
1953;15.00;4.25;72.2;;;
1953;20.00;5.36;76.3;;;
1953;25.00;6.46;79.2;;;
1953;30.00;7.60;80.8;;;
1953;35.00;8.75;81.8;;;
1953;40.00;9.90;82.7;;;
1953;45.00;11.03;83.4;;;
1953;50.00;12.09;84.6;;;
1953;55.00;13.25;84.9;;;
1953;60.00;14.42;85.1;;;
1953;65.00;15.62;85.1;;;
1953;70.00;16.91;84.7;;;
1953;75.00;18.28;83.9;;;
1953;80.00;19.65;83.3;;;
1953;85.00;20.81;83.6;;;
1953;90.00;21.81;84.4;;;
2344;-60.00;-12.54;85.2;;;
2344;-55.00;-11.56;85.6;;;
2344;-50.00;-10.50;85.5;;;
2344;-45.00;-9.37;84.9;;;
2344;-40.00;-8.19;83.5;;;
2344;-35.00;-7.05;82.0;;;
2344;-30.00;-5.91;80.3;;;
2344;-25.00;-4.80;78.3;;;
2344;-20.00;-3.67;74.8;;;
2344;-15.00;-2.50;68.0;;;
2344;-6.21;-0.45;29.7;;;
2344;0.00;1.16;0.0;;;
2344;5.00;2.48;49.4;;;
2344;10.00;3.77;65.1;;;
2344;15.00;5.06;72.7;;;
2344;20.00;6.37;77.0;;;
2344;25.00;7.69;79.8;;;
2344;30.00;9.02;81.6;;;
2344;35.00;10.32;83.3;;;
2344;40.00;11.54;85.1;;;
2344;45.00;12.88;85.7;;;
2344;50.00;14.27;86.0;;;
2344;55.00;15.68;86.1;;;
2344;60.00;17.04;86.4;;;
2344;65.00;18.41;86.6;;;
2344;70.00;19.88;86.4;;;
2344;75.00;21.50;85.6;;;
2344;80.00;23.16;84.8;;;
2344;85.00;24.62;84.7;;;
2344;90.00;26.03;84.9;;;
2734;-50.00;-12.44;86.9;;;
2734;-45.00;-11.08;86.0;;;
2734;-40.00;-9.68;84.5;;;
2734;-35.00;-8.30;82.8;;;
2734;-30.00;-6.96;81.0;;;
2734;-25.00;-5.63;78.6;;;
2734;-20.00;-4.25;74.2;;;
2734;-15.00;-2.87;66.9;;;
2734;-6.21;-0.48;26.9;;;
2734;0.00;1.35;0.0;;;
2734;5.00;2.86;50.0;;;
2734;10.00;4.38;65.4;;;
2734;15.00;5.89;72.9;;;
2734;20.00;7.40;77.4;;;
2734;25.00;8.93;80.2;;;
2734;30.00;10.43;82.4;;;
2734;35.00;11.87;84.5;;;
2734;40.00;13.39;85.5;;;
2734;45.00;14.94;86.2;;;
2734;50.00;16.51;86.7;;;
2734;55.00;18.10;87.0;;;
2734;60.00;19.71;87.2;;;
2734;65.00;21.44;86.8;;;
2734;70.00;23.31;86.0;;;
2734;75.00;25.20;85.2;;;
3125;-45.00;-12.81;87.0;;;
3125;-40.00;-11.20;85.6;;;
3125;-35.00;-9.59;83.7;;;
3125;-30.00;-8.01;81.6;;;
3125;-25.00;-6.42;78.5;;;
3125;-20.00;-4.83;73.8;;;
3125;-15.00;-3.28;66.8;;;
3125;-6.21;-0.52;25.6;;;
3125;0.00;1.60;0.0;;;
3125;5.00;3.32;49.2;;;
3125;10.00;5.03;65.0;;;
3125;15.00;6.75;72.7;;;
3125;20.00;8.49;77.1;;;
3125;25.00;10.22;80.0;;;
3125;30.00;11.90;82.5;;;
3125;35.00;13.42;85.3;;;
3125;40.00;15.12;86.5;;;
3125;45.00;16.93;87.0;;;
3125;50.00;18.80;87.0;;;
3125;55.00;20.77;86.7;;;
3125;60.00;22.84;86.0;;;
3516;-35.00;-10.88;84.5;;;
3516;-30.00;-9.08;82.3;;;
3516;-25.00;-7.31;79.4;;;
3516;-20.00;-5.53;75.1;;;
3516;-15.00;-3.76;68.1;;;
3516;-6.21;-0.62;27.0;;;
3516;0.00;1.75;0.0;;;
3516;5.00;3.69;50.0;;;
3516;10.00;5.62;65.5;;;
3516;15.00;7.54;73.2;;;
3516;20.00;9.46;77.8;;;
3516;25.00;11.32;81.3;;;
3516;30.00;13.04;84.7;;;
3516;35.00;14.97;86.1;;;
3516;40.00;17.03;86.5;;;
3516;45.00;19.20;86.3;;;
3516;50.00;21.43;85.9;;;
3906;-30.00;-10.12;82.5;;;
3906;-25.00;-8.14;79.6;;;
3906;-20.00;-6.19;75.6;;;
3906;-15.00;-4.20;68.4;;;
3906;-6.21;-0.69;27.3;;;
3906;0.00;1.89;0.0;;;
3906;5.00;4.04;50.6;;;
3906;10.00;6.25;65.5;;;
3906;15.00;8.40;73.0;;;
3906;20.00;10.50;77.9;;;
3906;25.00;12.56;81.4;;;
3906;30.00;14.49;84.7;;;
3906;35.00;16.70;85.8;;;
