RPM;Nm;kW;%;;;
4000;-60.00;-23.16;92.2;;;
4000;-50.00;-19.19;91.6;;;
4000;-40.00;-15.16;90.5;;;
4000;-30.00;-11.11;88.4;;;
4000;-20.00;-7.02;83.8;;;
4000;-10.00;-2.86;68.4;;;
4000;0.00;1.29;0.0;;;
4000;10.00;5.46;76.7;;;
4000;20.00;9.67;86.6;;;
4000;30.00;13.95;90.1;;;
4000;40.00;18.27;91.7;;;
4000;50.00;22.62;92.6;;;
4000;60.00;27.01;93.0;;;
4000;70.00;31.41;93.3;;;
5000;-50.00;-24.08;92.0;;;
5000;-40.00;-19.07;91.0;;;
5000;-30.00;-14.02;89.2;;;
5000;-20.00;-8.94;85.3;;;
5000;-10.00;-3.78;72.2;;;
5000;0.00;1.40;0.0;;;
5000;10.00;6.63;78.9;;;
5000;20.00;11.93;87.8;;;
5000;30.00;17.32;90.7;;;
5000;40.00;22.73;92.1;;;
5000;50.00;28.18;92.9;;;
6000;-50.00;-28.75;91.5;;;
6000;-40.00;-22.79;90.7;;;
6000;-30.00;-16.71;88.7;;;
6000;-20.00;-10.60;84.4;;;
6000;-10.00;-4.47;71.1;;;
6000;0.00;1.73;0.0;;;
6000;10.00;8.03;78.3;;;
6000;20.00;14.43;87.1;;;
6000;30.00;20.88;90.3;;;
6000;40.00;27.36;91.9;;;
6000;50.00;33.96;92.5;;;
