RPM;Nm;kW;%;;;
11000;-66.76;-69.85;90.8;;;
11000;-46.35;-48.20;90.3;;;
11000;-29.70;-30.17;88.2;;;
11000;0.00;2.86;0.0;;;
11000;29.70;38.03;90.0;;;
11000;46.35;58.33;91.5;;;
11000;66.76;83.62;92.0;;;
12000;-66.76;-75.34;89.8;;;
12000;-46.35;-51.94;89.2;;;
12000;-29.70;-32.42;86.9;;;
12000;0.00;3.45;0.0;;;
12000;29.70;41.95;89.0;;;
12000;46.35;64.24;90.7;;;
12000;66.76;92.04;91.1;;;
13000;-66.76;-80.73;88.8;;;
13000;-46.35;-55.46;87.9;;;
13000;-29.70;-34.51;85.3;;;
13000;0.00;4.40;0.0;;;
13000;29.70;46.02;87.9;;;
13000;46.35;70.36;89.7;;;
13000;66.76;100.57;90.4;;;
14000;-66.76;-86.09;88.0;;;
14000;-46.35;-58.89;86.7;;;
14000;-29.70;-36.48;83.8;;;
14000;0.00;5.25;0.0;;;
14000;29.70;50.21;86.7;;;
14000;46.35;76.57;88.8;;;
14000;66.76;109.13;89.7;;;
15000;-66.76;-91.66;87.4;;;
15000;-46.35;-62.32;85.6;;;
15000;-29.70;-38.30;82.1;;;
15000;0.00;6.21;0.0;;;
15000;29.70;54.53;85.6;;;
15000;46.35;82.77;88.0;;;
15000;66.76;117.47;89.3;;;
