NYCC
0
0
0
0
0
0
0
0.48
0
0.32
0.48
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.16
0.32
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.64
4.51
9.01
11.27
12.23
12.23
9.98
10.3
12.23
15.29
14.32
13.84
15.45
19.96
24.14
28.65
33.8
36.85
34.92
29.29
23.34
16.42
9.01
4.02
3.38
4.99
9.17
14.48
17.38
17.38
15.29
10.46
6.28
4.18
1.61
1.29
0.16
0
0
0
0
0.48
0.32
0
0
0
0
0
0
4.35
13.36
19.96
25.27
28
27.84
27.68
24.3
18.02
13.84
9.5
8.69
10.94
11.1
7.72
9.17
11.43
10.94
9.5
9.66
9.66
9.5
9.01
8.85
11.59
15.93
17.38
18.35
19.15
19.47
20.28
19.79
17.06
15.93
15.13
14.32
12.23
9.82
8.05
5.95
4.18
1.61
1.29
0.16
0.64
0.32
0
0
0
2.09
9.66
16.42
19.47
22.21
24.3
26.07
25.59
25.75
27.04
28.16
28.97
31.54
34.92
37.18
38.14
38.79
39.43
40.23
40.56
39.59
39.11
37.5
36.53
35.57
34.76
33.96
32.67
30.9
27.36
22.37
22.69
23.5
23.5
23.34
23.17
22.85
22.85
21.24
18.51
13.52
8.85
5.95
4.67
2.09
1.29
0.48
0.16
0.16
0
2.09
6.28
15.93
25.59
31.06
33.31
34.44
34.44
32.99
30.58
26.88
21.08
18.02
23.98
31.86
38.3
41.36
42.16
42.49
37.5
31.54
30.42
31.06
31.22
29.77
28.16
26.39
25.11
25.11
25.75
27.04
28.16
28.97
31.54
34.92
37.82
39.59
40.23
39.11
37.18
33.31
27.68
21.73
14.81
5.31
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.32
3.22
7.24
10.3
11.59
12.23
11.59
10.62
10.46
8.21
7.08
8.85
4.83
5.47
4.83
4.67
2.09
1.29
0.48
0
0
0.48
7.56
15.61
22.37
26.88
30.74
32.99
32.99
31.7
32.03
32.83
33.64
34.44
35.24
36.05
35.57
34.44
33.47
32.67
32.99
31.06
27.84
27.52
26.88
23.01
19.15
17.22
16.42
15.13
17.06
20.6
22.05
19.79
16.74
13.84
8.85
5.15
3.22
0.97
0
0
0
0
0
0
0
0
0
4.02
9.82
8.85
5.15
5.79
9.82
14.64
15.77
13.84
10.94
9.5
9.01
9.66
11.59
13.52
14.97
12.23
8.85
4.02
0.16
0
0
0
0
0
0
0
0
0
0
0
0
0.16
0.48
0.8
0.97
0.8
0.32
0
0
0
0
0
0
0.16
0
0
0
0.16
0.16
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.32
2.57
4.83
4.83
3.38
3.7
7.4
12.55
15.93
17.22
16.42
16.25
17.22
17.54
18.35
17.86
16.09
14.16
13.2
13.84
16.42
18.99
20.92
21.4
20.6
18.83
18.83
19.96
22.05
23.17
23.01
23.66
24.3
24.62
25.43
23.34
19.63
17.86
19.31
21.08
19.63
14.32
12.39
12.23
12.87
8.85
5.31
3.86
2.25
0.97
0
0
0
0
0
0
0
0.16
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1.61
6.6
11.91
16.42
18.19
18.99
19.63
23.01
25.75
28.65
29.93
31.54
32.51
32.03
31.7
33.47
33.8
30.26
28.32
20.92
12.07
4.67
1.29
0
0.32
1.13
2.25
3.7
4.35
4.83
4.35
1.93
0.16
1.13
2.9
4.99
6.28
8.53
12.55
15.61
16.58
16.42
15.13
11.43
10.94
14.32
17.06
19.15
24.94
31.54
36.69
40.39
41.84
42.97
43.93
44.58
44.42
43.93
41.36
37.5
33.15
28.65
23.98
18.19
11.91
7.4
2.74
1.13
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
