US06
0
0
0
4.35
14.81
25.91
36.53
46.99
55.04
62.44
69.2
72.9
75.32
77.25
79.66
80.95
82.88
84.01
84.65
85.3
86.58
86.58
86.58
87.87
90.61
91.57
93.5
93.99
95.92
96.4
96.88
97.37
96.08
93.82
93.5
93.02
92.22
92.54
91.09
91.73
91.09
90.93
90.44
90.77
91.09
90.77
90.28
90.12
89.96
88.19
87.23
87.87
84.01
88.03
89.64
91.73
93.34
93.5
95.59
96.4
98.17
98.81
99.62
100.58
100.58
100.91
100.1
100.58
101.55
100.91
101.07
101.39
103.16
102.84
103.16
103.48
103.8
104.45
105.09
106.22
106.22
106.86
103.16
102.35
102.84
103.16
102.51
103.48
103.32
102.84
103.32
102.03
103
102.84
103
102.68
103
101.87
102.03
102.84
103
103.48
104.29
104.77
103
103.32
101.55
102.51
101.55
102.51
102.19
101.39
101.55
101.39
101.87
102.03
101.87
100.58
100.58
101.23
101.07
100.1
100.42
100.26
100.26
100.42
99.94
100.58
101.07
100.26
100.26
100.42
99.62
101.07
101.07
100.26
101.07
100.42
99.94
99.62
99.46
99.94
99.94
99.94
99.78
100.42
100.1
100.1
100.42
100.91
100.74
102.51
103.48
104.29
104.77
106.06
106.38
107.83
108.15
108.63
109.92
109.92
110.72
111.21
111.69
115.39
116.03
120.54
116.84
116.19
116.19
115.87
116.68
117.16
117
115.55
114.91
114.42
114.42
114.1
114.26
114.26
114.59
116.03
116.84
118.45
120.38
121.83
124.4
126.17
127.62
125.85
122.31
121.67
122.95
124.88
125.53
127.3
127.94
128.59
128.59
129.23
129.23
127.94
127.94
127.3
126.66
124.88
123.11
119.57
116.84
113.94
108.79
106.86
107.34
106.38
106.06
106.54
106.38
107.99
108.47
109.92
109.92
110.56
109.76
109.6
109.44
107.99
106.86
106.38
105.73
106.22
106.86
106.22
106.7
107.83
108.63
109.27
109.6
110.24
110.88
110.4
111.69
111.69
111.69
112.65
113.3
113.62
114.1
113.14
113.62
113.14
112.17
112.49
112.81
112.01
111.53
112.49
112.17
111.85
112.49
112.98
112.98
112.98
114.26
113.94
114.1
113.78
114.1
114.59
114.75
113.94
114.59
115.39
115.71
116.84
116.36
116.36
116.03
115.87
115.71
116.84
117.16
117.8
116.03
115.07
114.1
113.3
113.46
114.1
112.98
114.26
112.98
113.14
111.21
110.72
109.76
109.92
109.76
108.95
108.31
108.63
108.79
108.79
108.15
107.83
106.7
107.18
106.54
106.86
106.06
106.38
105.41
100.1
100.1
98.81
98.33
98.81
98.33
98.81
98.81
99.46
99.46
99.46
99.46
100.1
99.46
100.1
100.74
100.1
100.74
100.1
100.74
100.74
101.39
100.74
100.1
98.33
95.76
94.63
91.41
89.64
87.07
82.88
79.18
78.54
76.6
72.26
66.79
59.87
55.68
53.11
46.99
35.89
28.49
27.84
22.53
16.09
9.66
3.22
0
0
0
0
0
0
