SC03COL
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1.45
4.83
4.67
5.31
5.63
3.54
2.25
0
0
0
0
0
0
0
0.64
5.31
9.66
12.87
14
16.09
19.96
22.21
23.66
23.82
26.72
29.45
30.58
30.9
31.06
31.7
32.99
33.8
34.12
34.76
35.73
38.3
39.59
39.11
37.5
36.53
34.44
32.83
31.38
28.81
25.11
18.83
12.55
11.59
14.97
20.76
25.43
26.07
27.2
29.45
32.67
34.76
36.05
37.01
36.69
35.57
34.12
31.38
27.52
22.69
16.9
12.23
12.07
16.09
21.08
22.69
26.39
31.54
36.05
39.75
42
41.52
42.81
44.74
45.87
46.51
47.15
47.48
47.31
47.31
47.96
48.76
49.25
49.08
49.08
48.44
47.15
45.71
44.42
43.13
41.04
38.14
34.92
31.06
26.88
23.17
18.51
12.71
10.62
15.13
19.96
23.82
25.91
31.06
36.37
41.04
42.49
42.97
44.74
47.31
50.05
52.3
54.07
55.68
56.97
58.1
59.55
60.67
61.32
61.64
61.32
60.83
58.9
56.01
53.43
52.14
51.98
51.98
52.14
52.14
52.14
52.3
53.59
55.36
57.13
58.9
60.19
61.15
61.8
61.96
62.12
61.8
61.48
60.35
59.38
58.42
56.01
53.11
50.53
49.41
48.76
48.28
47.15
44.1
40.39
35.08
27.68
20.12
13.04
7.24
3.22
1.61
0.97
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1.61
0.8
4.18
12.39
19.79
25.43
27.84
31.22
37.5
43.77
49.89
54.07
55.04
57.61
60.03
61.64
63.09
64.53
65.82
65.98
65.02
63.89
62.93
61.32
59.06
57.78
57.78
57.45
56.17
54.56
52.46
51.34
50.05
49.25
48.76
48.44
48.12
47.96
47.96
47.96
47.96
47.8
47.8
47.64
45.71
41.52
36.69
30.58
22.53
13.84
6.6
2.09
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.16
7.24
14.64
21.89
29.29
36.37
42.16
47.15
51.66
55.52
59.22
61.8
64.37
66.3
67.43
67.91
68.72
69.2
69.68
70.01
70.33
71.29
73.06
73.87
75.32
76.6
77.57
78.21
78.37
78.21
78.86
80.15
81.27
82.4
83.85
84.81
85.94
84.33
87.71
88.19
88.19
88.03
87.39
86.9
86.58
86.1
85.78
85.13
84.65
83.69
83.04
82.08
80.95
79.34
77.41
74.83
70.17
65.5
59.87
55.36
50.53
46.03
38.95
29.13
19.79
13.04
7.72
4.18
3.38
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
6.92
14.64
21.24
26.23
30.74
33.64
36.53
39.91
43.29
46.35
48.28
48.92
49.25
49.73
50.05
49.57
50.05
50.69
52.14
53.27
53.59
53.75
54.23
54.88
55.84
56.33
56.97
57.61
57.94
58.26
58.42
58.58
58.74
59.38
59.87
60.03
60.83
61.48
62.12
62.44
62.12
62.6
62.76
62.44
62.12
61.32
60.51
60.51
60.03
59.55
58.9
58.26
57.94
57.94
57.13
55.52
53.11
49.89
44.26
36.37
32.19
30.58
31.22
30.9
33.15
36.85
39.59
41.04
43.29
43.93
45.38
47.64
48.6
49.41
50.37
51.02
51.82
52.3
53.11
53.43
53.59
53.27
52.63
51.98
51.34
50.69
50.21
49.57
49.08
48.6
48.12
48.6
49.25
49.73
50.21
51.18
52.14
52.3
51.98
51.98
52.79
52.95
52.79
52.79
53.59
53.75
52.95
52.95
52.79
52.95
52.79
52.79
52.14
50.86
49.25
48.76
48.76
47.96
47.15
46.51
46.35
47.15
48.28
48.6
48.92
49.41
49.57
47.96
46.19
46.51
46.99
47.31
46.03
43.45
43.77
42.81
37.34
34.12
34.12
33.47
28.81
21.24
15.29
10.3
6.6
4.02
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.97
5.31
9.5
14.32
16.42
16.74
15.93
15.93
16.9
18.19
19.96
20.6
22.53
23.5
24.94
27.36
28.16
29.13
29.61
29.77
29.29
29.77
29.45
29.29
28.81
28.49
28.49
27.84
28
27.04
28.16
28.49
28.16
28.32
27.84
28
28.32
28.32
28.81
28.97
28.65
28.49
28.16
28.49
28.49
29.13
29.61
30.9
30.42
28.97
25.11
21.4
16.09
12.39
9.33
5.95
3.86
0
0
0
0
0
0
0
