LA92
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1.93
6.76
11.75
14.16
17.38
19.79
21.08
19.79
19.79
18.51
18.51
17.86
17.86
17.86
21.08
24.14
27.2
27.2
25.91
25.27
24.78
24.14
22.21
17.38
13.52
9.82
6.76
5.63
5.63
2.41
0
0
0
0
0
0
0
0
0
0
0
0
1.93
5.63
12.39
17.86
22.21
26.55
29.61
32.83
33.31
31.54
27.84
19.79
13.04
9.82
15.45
20.44
25.27
28.97
32.83
35.24
37.66
38.3
39.59
40.23
42
42
43.29
43.29
43.29
42.65
41.36
35.24
26.55
16.09
7.4
2.41
0.64
0
0
0
0
0
0
0
0
0.64
1.93
3.06
6.12
12.39
18.51
23.5
28.97
34.6
40.23
45.71
49.41
51.34
51.98
51.98
51.34
48.76
45.06
38.95
32.19
25.91
18.51
13.04
8.05
5.63
3.06
0
0
0
0
0
0
0
0
0
2.41
11.1
20.44
26.55
32.19
37.01
41.36
45.06
49.41
52.46
55.04
56.81
59.38
59.38
59.87
60.51
60.51
60.51
59.87
59.87
59.38
58.74
58.74
56.17
53.75
51.34
46.99
40.23
40.23
42
44.42
46.99
50.05
51.98
55.04
56.17
57.45
58.74
59.38
59.38
59.87
60.51
59.87
60.51
61.15
61.8
63.09
63.73
64.21
65.5
64.86
66.14
66.14
65.5
51.34
38.46
25.59
12.71
4.35
0.64
0.64
4.35
6.12
6.12
2.41
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
2.41
8.05
14.16
18.51
22.85
24.78
25.91
25.91
27.2
26.55
27.2
28.97
30.9
32.83
32.83
33.96
33.96
35.89
37.01
38.3
38.95
39.59
40.23
41.36
41.36
42.65
44.42
45.71
46.99
48.76
50.05
50.05
49.41
50.05
47.64
46.99
46.99
46.35
45.06
37.01
33.96
34.6
33.31
33.31
31.54
26.55
21.08
15.45
11.75
6.12
1.29
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.64
4.35
11.75
18.51
24.78
29.61
33.31
38.95
43.29
47.64
50.05
52.46
54.4
56.17
59.38
63.09
66.14
69.2
70.49
71.62
72.9
72.9
72.26
71.62
70.49
69.85
68.56
67.43
66.79
65.5
64.86
66.14
66.79
68.56
69.85
71.13
72.26
73.55
74.83
75.32
75.96
77.25
76.6
77.89
77.25
75.96
74.19
73.55
72.26
71.13
70.49
71.62
72.26
72.9
74.83
77.25
78.54
79.66
80.31
80.31
80.31
79.66
79.66
78.54
78.54
78.54
77.89
78.54
79.66
80.95
81.59
83.36
84.65
85.94
87.07
89
89
90.28
90.77
90.77
90.77
92.05
91.41
92.7
92.7
92.7
93.34
93.34
93.99
93.99
94.63
95.11
94.63
94.63
93.34
93.34
92.7
92.7
92.7
92.7
92.7
95.11
95.76
96.4
97.04
97.04
98.33
97.04
96.4
95.76
95.11
95.11
95.76
95.76
95.76
96.4
97.04
97.69
97.69
98.81
99.46
99.46
99.46
99.46
98.33
97.69
97.04
97.04
97.04
95.76
94.63
95.11
94.63
94.63
94.63
93.99
93.34
93.34
93.34
93.99
95.11
95.76
96.4
96.4
97.04
98.33
98.33
98.33
98.81
98.81
98.33
97.69
96.4
95.11
95.11
95.11
96.4
95.76
96.4
94.63
93.34
92.7
91.41
90.28
89
87.07
84.65
79.18
74.19
69.2
59.87
47.64
34.6
26.55
25.27
29.61
34.6
40.23
43.93
46.99
49.41
50.69
50.05
50.05
48.76
48.28
48.28
47.64
48.28
46.35
46.35
45.06
45.71
45.06
45.71
45.71
46.35
45.71
45.71
45.06
42.65
38.95
36.53
32.83
28.49
25.27
21.08
17.38
13.52
11.75
8.05
6.12
5.63
3.06
1.29
0
0
0
1.29
3.06
6.12
11.1
15.45
17.86
17.86
16.74
14.16
14.81
16.09
16.74
16.74
8.69
3.06
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.64
2.41
5.63
9.82
16.74
22.85
27.2
30.9
32.19
34.6
37.66
39.59
38.95
32.19
27.2
21.57
21.57
25.27
29.61
33.96
37.66
40.72
44.42
46.35
48.76
49.41
50.69
50.05
50.05
48.76
48.76
48.76
49.41
50.05
51.98
52.46
52.46
52.46
50.05
43.29
35.89
28.97
22.21
15.45
