j1015
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
2.8
5.6
8.3
11.1
13.9
16.7
19.4
22.2
25
27.8
30.6
33.3
36.1
38.9
41.7
44.4
47.2
50
50
50
50
50
50
50
50
50
50
50
50
50
47.5
45
42.5
40
40
40
40
40
41.3
42.5
43.8
45
46.3
47.5
48.8
50
51.3
52.5
53.8
55
56.3
57.5
58.8
60
60
60
60
60
60
60
60
60
60
60
60.9
61.8
62.7
63.6
64.5
65.5
66.4
67.3
68.2
69.1
70
70
70
70
70
70
70
70
70
70
70
68
66
64
62
60
58
56
54
52
50
50
50
50
50
50.9
51.8
52.7
53.6
54.5
55.5
56.4
57.3
58.2
59.1
60
60.9
61.8
62.7
63.6
64.5
65.5
66.4
67.3
68.2
69.1
70
70
70
70
70
70
68
66
64
62
60
58
56
54
52
50
48
46
44
42
40
38
36
34
32
30
27
24
21
18
15
12
9
6
3
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
2.9
5.7
8.6
11.4
14.3
17.1
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
17.1
14.3
11.4
8.6
5.7
2.9
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
2.9
5.7
8.6
11.4
14.3
17.1
20
22.9
25.7
28.6
31.4
34.3
37.1
40
40
40
40
40
40
40
40
40
40
40
40
40
40
40
40
38
36
34
32
30
28
26
24
22
20
20
20
21.7
23.3
25
26.7
28.3
30
31.7
33.3
35
36.7
38.3
40
38
36
34
32
30
28
26
24
22
20
17.1
14.3
11.4
8.6
5.7
2.9
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
2.9
5.7
8.6
11.4
14.3
17.1
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
17.1
14.3
11.4
8.6
5.7
2.9
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
2.9
5.7
8.6
11.4
14.3
17.1
20
22.9
25.7
28.6
31.4
34.3
37.1
40
40
40
40
40
40
40
40
40
40
40
40
40
40
40
40
38
36
34
32
30
28
26
24
22
20
20
20
21.7
23.3
25
26.7
28.3
30
31.7
33.3
35
36.7
38.3
40
38
36
34
32
30
28
26
24
22
20
17.1
14.3
11.4
8.6
5.7
2.9
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
2.9
5.7
8.6
11.4
14.3
17.1
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
17.1
14.3
11.4
8.6
5.7
2.9
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
2.9
5.7
8.6
11.4
14.3
17.1
20
22.9
25.7
28.6
31.4
34.3
37.1
40
40
40
40
40
40
40
40
40
40
40
40
40
40
40
40
38
36
34
32
30
28
26
24
22
20
20
20
21.7
23.3
25
26.7
28.3
30
31.7
33.3
35
36.7
38.3
40
38
36
34
32
30
28
26
24
22
20
17.1
14.3
11.4
8.6
5.7
2.9
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
2.8
5.6
8.3
11.1
13.9
16.7
19.4
22.2
25
27.8
30.6
33.3
36.1
38.9
41.7
44.4
47.2
50
50
50
50
50
50
50
50
50
50
50
50
50
47.5
45
42.5
40
40
40
40
40
41.3
42.5
43.8
45
46.3
47.5
48.8
50
51.3
52.5
53.8
55
56.3
57.5
58.8
60
60
60
60
60
60
60
60
60
60
60
60.9
61.8
62.7
63.6
64.5
65.5
66.4
67.3
68.2
69.1
70
70
70
70
70
70
70
70
70
70
70
68
66
64
62
60
58
56
54
52
50
50
50
50
50
50.9
51.8
52.7
53.6
54.5
55.5
56.4
57.3
58.2
59.1
60
60.9
61.8
62.7
63.6
64.5
65.5
66.4
67.3
68.2
69.1
70
70
70
70
70
70
68
66
64
62
60
58
56
54
52
50
48
46
44
42
40
38
36
34
32
30
27
24
21
18
15
12
9
6
3
0
0
0
0
0
0
0
0
0
0
0
