US06
0
0
0
0
0
0
0.32
1.13
1.77
2.74
9.66
22.37
32.99
41.36
40.23
45.71
51.98
55.68
58.74
61.8
64.21
67.91
70.49
71.13
69.85
68.56
64.86
63.09
61.8
61.8
63.09
62.44
62.44
58.74
51.98
44.42
35.89
27.84
18.51
9.33
1.93
0
0
0
0
0
0
0
0
1.29
14.81
23.98
29.29
35.73
43.77
50.53
54.4
59.87
65.66
70.81
74.51
76.6
79.66
82.4
85.3
87.55
89.48
90.77
90.28
90.44
89.8
88.67
87.55
87.23
87.55
87.23
86.1
84.17
83.69
83.52
83.36
83.52
83.69
84.49
85.94
88.35
91.41
94.63
97.53
100.26
103.32
106.54
109.11
111.69
113.3
113.62
113.78
113.14
109.76
107.02
104.45
102.51
100.58
98.17
95.43
92.86
90.12
87.71
84.97
82.4
79.66
77.25
74.51
70.81
66.14
62.44
60.67
58.9
56.81
48.28
39.27
31.86
24.94
17.38
10.14
5.15
3.38
1.93
0
0
0
0
0
0
0
0
0
0.32
7.08
16.25
25.11
33.47
40.39
44.58
45.38
43.13
39.91
36.05
27.52
18.19
11.1
12.07
17.86
24.78
32.03
38.95
43.61
45.87
45.38
41.2
34.92
27.84
19.47
12.07
9.33
3.86
1.93
3.06
10.78
18.99
27.04
34.92
41.68
44.58
45.06
43.61
39.27
32.51
24.46
14.97
8.05
4.67
3.86
13.52
21.73
28.65
35.73
42.16
48.28
47.96
41.84
34.28
26.07
18.35
10.62
4.18
0
0
0
0
0
0
0
0
0.48
10.3
20.44
30.9
38.3
45.38
56.17
60.35
64.86
72.42
80.31
83.04
82.4
81.43
80.31
76.93
71.78
66.3
60.83
53.75
45.06
38.14
30.26
20.76
9.98
3.54
0
0
0
0
0
0
0
