Path Variables;NEDC;EU_mix;US06;US_mix;City - Mean
J3;433;616;842;460;134
K1;0.112;0.14;0.195;0.126;0.196
K2;1.693;2.115;4.082;1.824;1.604
rate_acc;0.861;0.804;0.869;0.843;0.807
J0;0.066;0.054;0.037;0.055;0.112
H;0.002;0.002;0.002;0.002;0.002
w;4;4;4;4;4
Share urban;0.701;0.473;0.067;0.388;1
dist;10930;23270;12890;18000;20000
t_idle;0.025614311;0.009713629;0.003026174;0.018852594;0.036
